fid,x,y
"547",126.2691533817,33.3968571601
"548",126.2257295513,33.3693710595
"549",126.5917521820,33.2685053278
"550",126.2610000004,33.4067900000
"551",126.1868271036,33.3500255946
"552",126.3542131353,33.4765717000
"553",126.5593954348,33.5234772722
"554",126.9647199999,33.4966660002
"555",126.2127626630,33.3583369120
"556",126.8626056220,33.5236979580
"557",126.6474900003,33.5199999997
"558",126.3359011765,33.2461239498
"559",126.4823339998,33.4789329998
"560",126.4823339998,33.4789329998
"561",126.5541100003,33.2693270003
"562",126.4237659526,33.2542583292
"563",126.5602960143,33.2560724415
"564",126.5264704373,33.5023496192
"565",126.5716932209,33.4529712269
"566",126.2587986484,33.2642649341
"567",126.2587986484,33.2642649341
"568",126.1852339643,33.3020901386
"569",126.2724624787,33.2800789744
"570",126.5308718759,33.4849158416
"571",126.2374555904,33.3928663182
"572",126.2973260005,33.4451189997
"573",126.6316209207,33.5030588543
"574",126.6321135426,33.5031238805
"575",126.5246000002,33.4704599999
"576",126.5246000002,33.4704599999
"577",126.4921522998,33.4942194822
"578",126.6321135426,33.5031238805
"579",126.7746917046,33.3521641207
"580",126.7746917046,33.3521641207
"581",126.5562133294,33.2529065640
"582",126.5445000001,33.4904700002
"583",126.5716932209,33.4529712269
"584",126.8507462639,33.5313597297
"585",126.8507462639,33.5313597297
"586",126.5408079804,33.4711702641
"587",126.6659421736,33.4437625567
"588",126.3336106658,33.2407578050
"589",126.5527450517,33.5085655502
"590",126.7029598477,33.4596640794
"591",126.6321135426,33.5031238805
"592",126.6627288260,33.3022530541
"593",126.4263509999,33.2532550002
"594",126.9143510948,33.4505232396
"595",126.5626999997,33.5269500004
"596",126.6404500983,33.5354571766
"597",126.2698903914,33.2275210812
"598",126.5034000003,33.4964200004
"599",126.4579831872,33.5015141934
"600",126.2569257176,33.3295837714
"601",126.2569257176,33.3295837714
"602",126.5505464417,33.4879552749
"603",126.4778429158,33.2364755302
"604",126.5241000004,33.2557899997
"605",126.3310026163,33.2511423298
"606",126.3797000003,33.3087999998
"607",126.2438967404,33.2342758572
"608",126.4183470000,33.2608080004
"609",126.2070963472,33.2843963020
"610",126.5367765897,33.4973578717
"611",126.6246953271,33.5309925425
"612",126.5158000000,33.5020699997
"613",126.5631999995,33.2524300000
"614",126.7919950392,33.5550203207
"615",126.5150980004,33.5012016003
"616",126.2685000003,33.4203300001
"617",126.8845072863,33.5181450879
"618",126.5655712771,33.2506142119
"619",126.5409999999,33.4701000004
"620",126.4717392293,33.4750796342
"621",126.4717392293,33.4750796342
"622",126.5657000003,33.2505300002
"623",126.5657073951,33.2505388602
"624",126.4776199404,33.4871858055
"625",126.5525547949,33.4814278663
"626",126.7118089338,33.5524818654
"627",126.4745746586,33.4905919452
"628",126.2528808468,33.2293597323
"629",126.3618113001,33.4426036000
"630",126.8037996947,33.3070978157
"631",126.4295190001,33.2496759996
"632",126.1849510723,33.3554579037
"633",126.9269861014,33.4281200200
"634",126.4293181284,33.2494779237
"635",126.5617597948,33.5145216792
"636",126.5617597948,33.5145216792
"637",126.7610000003,33.5432399999
"638",126.5151999999,33.5108100004
"639",126.5262000003,33.5086100001
"640",126.8014973456,33.3277740080
"641",126.5517935405,33.2673146914
"642",126.4872339158,33.4654686105
"643",126.7027625591,33.2737999923
"644",126.7671630777,33.3028910383
"645",126.7152364066,33.2795751127
"646",126.5908067394,33.2909300173
"647",126.5879530802,33.5118955233
"648",126.7609438337,33.5575961889
"649",126.5451999998,33.4980700004
"650",126.5737774878,33.4717376406
"651",126.3202223723,33.4653457185
"652",126.2681497140,33.2691010177
"653",126.5316607140,33.4911236871
"654",126.4690467594,33.4682124147
"655",126.4690467594,33.4682124147
"656",126.7476220470,33.4843517026
"657",126.7476220470,33.4843517026
"658",126.4306999995,33.2522799999
"659",126.7951280004,33.5567950004
"660",126.5100815258,33.2584461819
"661",126.7590430004,33.5569540003
"662",126.5674570002,33.4763290002
"663",126.4691590002,33.4892359997
"664",126.2473613455,33.2221877601
"665",126.5193999997,33.5034399998
"666",126.4561769999,33.3114369997
"667",126.6464704860,33.2982698306
"668",126.5330203254,33.4986942683
"669",126.5953268067,33.5115983212
"670",126.8608000003,33.5251299996
"671",126.9315201833,33.4663543744
"672",126.3492017466,33.4676033825
"673",126.9315201833,33.4663543744
"674",126.5077970004,33.5102004997
"675",126.2059420163,33.2839608528
"676",126.5773650840,33.4862495104
"677",126.5300421135,33.4857885068
"678",126.5739984653,33.2575300151
"679",126.5127693848,33.5041356536
"680",126.4157096552,33.4884749821
"681",126.5344000004,33.5074099999
"682",126.5355649780,33.5072132410
"683",126.4800503849,33.4995177968
"684",126.3046861208,33.4491947581
"685",126.8792421020,33.3783861000
"686",126.2533142096,33.2291887737
"687",126.9358629276,33.4659892916
"688",126.2548253092,33.2185794380
"689",126.2560000004,33.2245999997
"690",126.4773877152,33.4843059539
"691",126.5051000002,33.4921799998
"692",126.6464704860,33.2982698306
"693",126.4891999999,33.4849599997
"694",126.8286888069,33.3260331361
"695",126.5746640265,33.2512437837
"696",126.7207325593,33.2832508216
"697",126.4426305526,33.3064535787
"698",126.2251537121,33.2976259617
"699",126.2251537121,33.2976259617
"700",126.5234122830,33.5079017041
"701",126.5246999998,33.4487900004
"702",126.2668999996,33.4146800000
"703",126.5380420501,33.5143431801
"704",126.5380420501,33.5143431801
"705",126.5867811298,33.5244753271
"706",126.7359427297,33.2845113639
"707",126.5133452646,33.5148440305
"708",126.5737010002,33.4346690004
"709",126.7359382543,33.2845002643
"710",126.1938361136,33.3621193308
"711",126.2837088260,33.2879799794
"712",126.5169240004,33.5087510003
"713",126.4857480706,33.4577542636
"714",126.8676919998,33.5158970004
"715",126.8676919998,33.5158970004
"716",126.3731694448,33.4422010906
"717",126.8115990005,33.5527991996
"718",126.5118000000,33.4965899998
"719",126.5616773870,33.2540069966
"720",126.5040234101,33.4987604673
"721",126.5551610001,33.4865110003
"722",126.5261300000,33.5127792000
"723",126.4936290003,33.5036086999
"724",126.5609516808,33.2566147439
"725",126.3478159997,33.4548599996
"726",126.3478159997,33.4548599996
"727",126.4471440600,33.4830751491
"728",126.8217189467,33.4068560063
"729",126.2498877985,33.3048950654
"730",126.7676738083,33.3079293096
"731",126.2607527520,33.3115783828
"732",126.5429000004,33.4956899997
"733",126.2829280002,33.2888210004
"734",126.2782969999,33.4149016999
"735",126.7122597887,33.4596015317
"736",126.7693520001,33.3030799996
"737",126.7693520001,33.3030799996
"738",126.5390000004,33.5034800001
"739",126.5986680992,33.2680210383
"740",126.4755891350,33.4795235244
"741",126.5234611121,33.5159181126
"742",126.7604662364,33.5568950887
"743",126.7604662364,33.5568950887
"744",126.5155330002,33.4480094002
"745",126.7104643247,33.3268125761
"746",126.2817909998,33.2891429999
"747",126.5761321428,33.2525740127
"748",126.6033097045,33.2386891776
"749",126.4111217514,33.4871951905
"750",126.4718350569,33.4897279351
"751",126.2806849943,33.3940912908
"752",126.7967000003,33.5557099999
"753",126.8558042633,33.5259554961
"754",126.2698130269,33.3598504706
"755",126.5637733808,33.2584415472
"756",126.2698130269,33.3598504706
"757",126.5693915239,33.2562681857
"758",126.4123825969,33.4676082942
"759",126.7775732075,33.3502138747
"760",126.4349000003,33.4347800002
"761",126.7692825772,33.3005456133
"762",126.5333266467,33.5161888230
"763",126.5336296533,33.5161461468
"764",126.3798193712,33.4836609151
"765",126.8877340002,33.5190190000
"766",126.4740000002,33.4809799998
"767",126.4740000002,33.4809799998
"768",126.8877311696,33.5189854588
"769",126.7084324272,33.2814930700
"770",126.5068192597,33.2356378820
"771",126.5068192597,33.2356378820
"772",126.6168970004,33.2652014998
"773",126.7542783003,33.5573299713
"774",126.8197047577,33.5327077934
"775",126.5220627982,33.2540142459
"776",126.5427722707,33.4734652377
"777",126.5131228926,33.4929711895
"778",126.5131228926,33.4929711895
"779",126.1673828690,33.2907136817
"780",126.5134630064,33.5120574088
"781",126.5144399999,33.4922179999
"782",126.9044052608,33.4951822561
