acdnt_cause,loc_info_x,loc_info_y
dog,166162.96,51280.8
dog,185173.2462,35032.9108
dog,130993.67,39491.08
dog,151534.38,21625.85
dog,184446.7401,49631.3685
dog,167198.14,55310.95
dog,194897.15,51072.45
dog,167819.99,48739.29
dog,133140.91,27904.08
dog,193880.4385,46667.5902
dog,164654.23,51517.46
dog,167729.73,25878.75
dog,131349.92,41167.87
dog,141562.96,47883.64
dog,141256.09,36761.55
dog,164640.26,54531.06
dog,151603.22,49854.73
dog,155608.05,50700.61
dog,146346.24,23217.49
dog,146346.24,23217.49
dog,132041.9,42864.47
dog,186659.92,53725.58
dog,160325.09,47622.62
dog,148701.99,23405.98
dog,155350.35,51360.49
dog,158948.25,45264.64
dog,146059.1,22287.84
dog,156785.87,50538.69
dog,154313.51,51974.76
dog,154894.81,51955.32
dog,150591.62,49414.56
dog,143527.87,47128.47
dog,156247.9,50842.4
dog,135559.23,45444.62
dog,135559.23,45444.62
dog,146166.07,47089.07
dog,188100.86,37964.61
dog,135190.8635,101762.6266
dog,154057.12,50713.54
dog,161498.82,53587.07
dog,156114.72,25790.53
dog,156114.72,25790.53
dog,156114.72,25790.53
dog,167828.73,48804.84
dog,167828.73,48804.84
dog,158263.8319,28107.3167
dog,145649.84,22639.11
dog,150215.48,49045.19
dog,154816.5499,49893.0188
dog,155897.9811,50634.4876
dog,140804.71,37345.34
dog,134730.6,23023.13
dog,158694.19,22168.1
dog,153831.01,23899.89
dog,130232.85,20154.69
dog,154184.41,52610.75
dog,135656.47,45157.25
dog,131244.88,41656.68
dog,141138.2,24861.08
dog,191720.09,50387.17
dog,168538.1,25464.45
dog,154895.2884,50832.12
dog,154895.2884,50832.12
dog,188883.91,44518.58
dog,164315.6306,23529.272
dog,166891.285,53713.5422
dog,170097.36,50457.57
dog,177609.08,57042.78
dog,137653.77,23299.81
dog,181297.2477,56832.8972
dog,124117.0097,29050.229
dog,155190.1,51152.4
dog,129202.27,39022.51
dog,177481.51,57076.12
dog,177481.51,57076.12
dog,164607.0075,23097.578
dog,129288.46,39108
dog,152811.53,48661.27
dog,177760.17,57041.3
dog,160086.36,48810.12
dog,177675.57,57077.77
dog,177675.57,57077.77
dog,165668.48,25626.28
dog,176441.71,56899.91
dog,171777.32,56071.9
dog,155313.71,23929.51
dog,168263.2148,55287.5988
dog,132246.55,23347.39
dog,185500.2136,54164.9441
dog,168862,55429.44
dog,182482.48,49733.73
dog,155417.42,22983.65
dog,135230.83,27722.95
dog,135230.83,27722.95
dog,154839.58,51619.06
dog,154839.58,51619.06
dog,124926.78,28584.45
dog,152561.28,45561.11
dog,188883.91,44518.58
dog,154392.54,23591.16
dog,167650.11,53787.17
dog,131512.75,41781.93
dog,153263.91,49882.88
dog,130732.32,34059.05
dog,130732.32,34059.05
dog,124052.95,35111.4
dog,124052.95,35111.4
dog,147602.9762,46378.9984
dog,159636.8302,22346.0724
dog,143632.47,47269.84
dog,158947.41,24759.95
dog,151409.84,21720.55
dog,176784.41,56998.98
dog,163840.719,47488.0421
dog,157992.17,48712.9
dog,155515.8826,52209.219
dog,182879.72,31662.22
dog,182879.72,31662.22
dog,131654.48,42576.83
dog,145789.31,23630.02
dog,155173.63,49885.82
dog,151353.88,49217.01
dog,147395.25,50231.72
dog,193530.9,47389.96
dog,176554.5,27188.87
dog,156192.0438,49906.6409
dog,144323.02,45894.85
dog,155736.74,50756.24
dog,160430.03,23118.3
dog,154183.5,49646.61
dog,182819.61,52672.42
dog,162191.5,27492.98
dog,154987.61,50788.04
dog,156362.14,24263.77
dog,156362.14,24263.77
dog,156444.03,52272.66
dog,160211.32,53302.22
dog,140898.4,21480.53
dog,173909.51,26397.61
dog,186244.06,53170.65
dog,146504.85,41040.43
dog,125977.54,25806.12
dog,133116.36,44479.7
dog,152298.4,47242.22
dog,181037.25,56892.68
dog,190210.73,42266.74
dog,159423.35,51833.57
dog,152341.17,46080.5
dog,158654.36,49277.92
dog,147673.91,22097.79
dog,168714.36,53145.47
dog,145178.659,46538.8641
dog,145178.659,46538.8641
dog,135250.6063,45375.8269
dog,150927.83,48235.46
dog,168575.33,25692.83
dog,168575.33,25692.83
dog,154870.98,52557.39
dog,149085.77,50514.65
dog,130210.49,19833.65
dog,127568.9341,38225.6449
dog,132479.1878,19820.7686
dog,177971.6375,56935.0985
dog,187401.99,50668.56
dog,168141.62,54822.15
dog,155238.49,49836.65
dog,155206.9186,49902.2904
dog,133317.11,27795.51
dog,131162.11,25253.5
dog,131162.11,25253.5
dog,137325.77,42143.76
dog,133334.06,44258.35
dog,157953.19,52873.19
dog,156932.7905,49295.4819
dog,193892.257,46388.5686
dog,182523.91,56576.75
dog,182523.91,56576.75
dog,149793.56,45643.7
dog,195129.76,50515.94
dog,154927.7,50138.77
dog,154550.46,51867.91
dog,153918.45,21194.31
dog,189509.54,52514.86
dog,140742.52,33847.16
dog,158941.98,22667.92
dog,145022.28,48525.94
dog,145014.79,48521.82
dog,160449.93,47503.51
dog,139946.64,24289.77
dog,129344.7795,39286.0258
dog,147278.9,49517.73
dog,156141.91,22857.68
dog,180420.5,55640.49
