resc_reprt_no,acdnt_cause,prcs_result_se_nm,dclr_ymd,dclr_tm,dclr_yr,season_se_nm,qu_se_nm,dclr_mm,dclr_dd,dclr_hh,dclr_mi,daywk,dsp_ymd,dsp_tm,dsp_yr,dsp_mm,dsp_dd,dsp_hh,dsp_mi,spt_arvl_ymd,spt_arvl_tm,spt_arvl_yr,spt_arvl_mm,spt_arvl_dd,spt_arvl_hh,spt_arvl_mi,resc_cmptn_ymd,resc_cmptn_tm,resc_cmptn_yr,resc_cmptn_mm,resc_cmptn_dd,resc_cmptn_hh,resc_cmptn_mi,hmg_ymd,hmg_tm,hmg_yr,hmg_mm,hmg_dd,hmg_hh,hmg_mi,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se,dong_se,loc_info_x,loc_info_y,spt_frstt_dist,acdnt_place_nm,acdnt_place_detail_nm,acdnt_cause_asort_nm,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,frstt_nm,ward_nm,lfdau_nm
20165002201S00109,동물포획,기타,20160206,4000,2016,겨울,1,2,6,0,40,토요일,20160206,4300,2016,2,6,0,43,20160206,5000,2016,2,6,0,50,20160206,5700,2016,2,6,0,57,20160206,12000,2016,2,6,1,20,제주특별자치도,서귀포시,토평동,도시,동,159578.81,26558.81,4.0,단독주택,단독주택,개,4.1,,1.5,250.0,56.0,,서귀포소방서,서귀포구조대,
20165004201S00063,동물포획,안전조치,20160206,141000,2016,겨울,1,2,6,14,10,토요일,20160206,141200,2016,2,6,14,12,20160206,142000,2016,2,6,14,20,20160206,143000,2016,2,6,14,30,20160206,145100,2016,2,6,14,51,제주특별자치도,제주시,구좌읍,농촌,읍,190241.9463,49846.7141,3.0,기타,기타,개,4.2,,7.3,340.0,58.0,,동부소방서,동부구조대,
20165003104S00027,동물포획,안전조치,20160207,84300,2016,겨울,1,2,7,8,43,일요일,20160207,84300,2016,2,7,8,43,20160207,85000,2016,2,7,8,50,20160207,90000,2016,2,7,9,0,20160207,91000,2016,2,7,9,10,제주특별자치도,서귀포시,대정읍,농촌,읍,129255.09,21291.36,1.5,논밭ㆍ축사,밭,개,2.5,,1.3,20.0,59.0,,서부소방서,대정센터,
20165001201S00262,동물포획,안전조치,20160207,170100,2016,겨울,1,2,7,17,1,일요일,20160207,170200,2016,2,7,17,2,20160207,171000,2016,2,7,17,10,20160207,171300,2016,2,7,17,13,20160207,172000,2016,2,7,17,20,제주특별자치도,제주시,아라일동,도시,동,157170.49,48654.0,4.0,단독주택,단독주택,개,4.9,,2.3,290.0,60.0,,제주소방서,제주구조대,
20165002108S00017,동물포획,기타,20160209,40000,2016,겨울,1,2,9,4,0,화요일,20160209,40100,2016,2,9,4,1,20160209,40500,2016,2,9,4,5,20160209,42000,2016,2,9,4,20,20160209,43000,2016,2,9,4,30,제주특별자치도,서귀포시,남원읍,농촌,읍,174054.3,26305.82,2.0,도로교통,도로,개,8.4,,2.6,340.0,60.0,,동부소방서,남원센터,
20165001201S00270,동물포획,안전조치,20160209,94900,2016,겨울,1,2,9,9,49,화요일,20160209,94900,2016,2,9,9,49,20160209,95500,2016,2,9,9,55,20160209,100200,2016,2,9,10,2,20160209,101000,2016,2,9,10,10,제주특별자치도,제주시,삼도이동,도시,동,155685.04,52079.83,2.5,도로교통,도로,개,7.3,,1.0,230.0,39.0,,제주소방서,제주구조대,
20165001106S00014,동물포획,안전조치,20160209,210300,2016,겨울,1,2,9,21,3,화요일,20160209,210300,2016,2,9,21,3,20160209,210800,2016,2,9,21,8,20160209,211700,2016,2,9,21,17,20160209,214100,2016,2,9,21,41,제주특별자치도,제주시,화북일동,도시,동,159368.34,53110.51,3.0,단독주택,주택기타,개,7.3,,0.9,230.0,53.0,,제주소방서,화북센터,
20165001201S00277,동물포획,안전조치,20160209,210300,2016,겨울,1,2,9,21,3,화요일,20160209,210300,2016,2,9,21,3,20160209,211300,2016,2,9,21,13,20160209,212800,2016,2,9,21,28,20160209,213400,2016,2,9,21,34,제주특별자치도,제주시,화북일동,도시,동,159368.34,53110.51,5.0,빌라,빌라,개,7.3,,0.9,230.0,53.0,,제주소방서,제주구조대,
20165003102S00026,동물포획,안전조치,20160211,132600,2016,겨울,1,2,11,13,26,목요일,20160211,132700,2016,2,11,13,27,20160211,134000,2016,2,11,13,40,20160211,135500,2016,2,11,13,55,20160211,140800,2016,2,11,14,8,제주특별자치도,제주시,애월읍,농촌,읍,144764.54,48767.53,7.0,단독주택,단독주택,개,18.5,,5.2,140.0,60.0,,서부소방서,애월센터,
20165003102S00027,동물포획,안전조치,20160211,155100,2016,겨울,1,2,11,15,51,목요일,20160211,155200,2016,2,11,15,52,20160211,155800,2016,2,11,15,58,20160211,160300,2016,2,11,16,3,20160211,161000,2016,2,11,16,10,제주특별자치도,제주시,애월읍,농촌,읍,140031.6,47849.92,2.0,숙박시설,숙박시설기타,개,16.3,,4.1,140.0,65.0,,서부소방서,애월센터,
20165001110S00035,동물포획,안전조치,20160212,113000,2016,겨울,1,2,12,11,30,금요일,20160212,113000,2016,2,12,11,30,20160212,115100,2016,2,12,11,51,20160212,120500,2016,2,12,12,5,20160212,122100,2016,2,12,12,21,제주특별자치도,제주시,조천읍,농촌,읍,168616.17,47656.2,15.0,단독주택,단독주택,개,19.8,,2.4,140.0,68.0,,동부소방서,조천센터,
20165003102S00030,동물포획,안전조치,20160213,124900,2016,겨울,1,2,13,12,49,토요일,20160213,125100,2016,2,13,12,51,20160213,125900,2016,2,13,12,59,20160213,130400,2016,2,13,13,4,20160213,131500,2016,2,13,13,15,제주특별자치도,제주시,애월읍,농촌,읍,136079.54,46410.4,3.0,도로교통,도로,개,17.9,0.0,1.2,20.0,85.0,,서부소방서,애월센터,
20165002110S00008,동물포획,안전조치,20160213,172400,2016,겨울,1,2,13,17,24,토요일,20160213,173100,2016,2,13,17,31,20160213,173900,2016,2,13,17,39,20160213,174500,2016,2,13,17,45,20160213,175000,2016,2,13,17,50,제주특별자치도,서귀포시,신효동,도시,동,163851.68,24192.1,1.0,도로교통,도로,개,14.9,,3.5,250.0,98.0,,서귀포소방서,효돈센터,
20165001110S00036,동물포획,안전조치,20160216,143400,2016,겨울,1,2,16,14,34,화요일,20160216,143500,2016,2,16,14,35,20160216,144200,2016,2,16,14,42,20160216,150000,2016,2,16,15,0,20160216,151200,2016,2,16,15,12,제주특별자치도,제주시,조천읍,농촌,읍,166273.74,54258.93,3.0,종교시설,사찰,개,7.6,,6.0,290.0,49.0,,동부소방서,조천센터,
20165002201S00136,동물포획,안전조치,20160216,194600,2016,겨울,1,2,16,19,46,화요일,20160216,194800,2016,2,16,19,48,20160216,195500,2016,2,16,19,55,20160216,200600,2016,2,16,20,6,20160216,201200,2016,2,16,20,12,제주특별자치도,서귀포시,보목동,도시,동,162308.43,22352.88,4.0,단독주택,단독주택,개,6.1,,2.3,250.0,52.0,,서귀포소방서,서귀포구조대,
20165001201S00328,동물포획,안전조치,20160217,104500,2016,겨울,1,2,17,10,45,수요일,20160217,104600,2016,2,17,10,46,20160217,110600,2016,2,17,11,6,20160217,113500,2016,2,17,11,35,20160217,114800,2016,2,17,11,48,제주특별자치도,제주시,노형동,도시,동,150157.31,47761.02,9.0,단독주택,단독주택,개,8.1,,3.1,340.0,42.0,,제주소방서,제주구조대,
20165004201S00094,동물포획,안전조치,20160218,85000,2016,겨울,1,2,18,8,50,목요일,20160218,85100,2016,2,18,8,51,20160218,85800,2016,2,18,8,58,20160218,91000,2016,2,18,9,10,20160218,91800,2016,2,18,9,18,제주특별자치도,서귀포시,성산읍,농촌,읍,189295.94,44300.7,3.0,논밭ㆍ축사,밭,개,2.3,,2.8,290.0,70.0,,동부소방서,동부구조대,
20165001108S00014,동물포획,안전조치,20160218,220800,2016,겨울,1,2,18,22,8,목요일,20160218,220900,2016,2,18,22,9,20160218,221800,2016,2,18,22,18,20160218,222800,2016,2,18,22,28,20160218,224100,2016,2,18,22,41,제주특별자치도,제주시,구좌읍,농촌,읍,185240.37,54304.0,3.0,단독주택,단독주택,개,9.0,,3.3,230.0,59.0,,동부소방서,구좌센터,
20165003103S00007,동물포획,기타,20160222,134300,2016,겨울,1,2,22,13,43,월요일,20160222,134400,2016,2,22,13,44,20160222,134900,2016,2,22,13,49,20160222,135800,2016,2,22,13,58,20160222,141000,2016,2,22,14,10,제주특별자치도,제주시,한경면,농촌,면,123411.26,29663.45,6.0,기타,기타,개,5.4,,2.4,20.0,84.0,,서부소방서,한경센터,
20165001110S00039,동물포획,안전조치,20160223,121000,2016,겨울,1,2,23,12,10,화요일,20160223,121000,2016,2,23,12,10,20160223,121600,2016,2,23,12,16,20160223,123500,2016,2,23,12,35,20160223,125000,2016,2,23,12,50,제주특별자치도,제주시,조천읍,농촌,읍,168811.83,55225.49,3.0,도로교통,도로,개,9.3,,4.5,20.0,68.0,,동부소방서,조천센터,
20165003102S00033,동물포획,안전조치,20160224,103900,2016,겨울,1,2,24,10,39,수요일,20160224,104000,2016,2,24,10,40,20160224,104500,2016,2,24,10,45,20160224,112000,2016,2,24,11,20,20160224,113500,2016,2,24,11,35,제주특별자치도,제주시,애월읍,농촌,읍,136796.83,47027.57,3.0,단독주택,단독주택,개,3.0,,5.1,340.0,61.0,,서부소방서,애월센터,
20165003102S00034,동물포획,안전조치,20160225,141100,2016,겨울,1,2,25,14,11,목요일,20160225,141200,2016,2,25,14,12,20160225,141700,2016,2,25,14,17,20160225,142500,2016,2,25,14,25,20160225,144700,2016,2,25,14,47,제주특별자치도,제주시,애월읍,농촌,읍,137901.81,46799.36,2.0,기타,기타,개,6.0,,3.9,360.0,37.0,,서부소방서,애월센터,
20165003201S00116,동물포획,안전조치,20160302,153200,2016,봄,1,3,2,15,32,수요일,20160302,153700,2016,3,2,15,37,20160302,154500,2016,3,2,15,45,20160302,160800,2016,3,2,16,8,20160302,161600,2016,3,2,16,16,제주특별자치도,제주시,한림읍,농촌,읍,131519.73,41798.77,5.0,빌라,연립주택,개,12.6,,2.3,110.0,55.0,,서부소방서,서부구조대,
20165002110S00014,동물포획,기타,20160304,82600,2016,봄,1,3,4,8,26,금요일,20160304,83000,2016,3,4,8,30,20160304,83500,2016,3,4,8,35,20160304,90000,2016,3,4,9,0,20160304,92900,2016,3,4,9,29,제주특별자치도,서귀포시,상효동,도시,동,162794.56,26068.79,3.9,논밭ㆍ축사,하우스시설물,개,15.5,,3.0,230.0,84.0,,서귀포소방서,효돈센터,
20165002201S00182,동물포획,기타,20160304,82600,2016,봄,1,3,4,8,26,금요일,20160304,83000,2016,3,4,8,30,20160304,84000,2016,3,4,8,40,20160304,85500,2016,3,4,8,55,20160304,91200,2016,3,4,9,12,제주특별자치도,서귀포시,상효동,도시,동,162794.56,26068.79,5.0,논밭ㆍ축사,밭,개,15.5,,3.0,230.0,84.0,,서귀포소방서,서귀포구조대,
